Name,MBID,URL,Small Image,Image
Snarky Puppy,fe85367e-4036-43c1-874b-b91af81cb4f3,https://www.last.fm/music/Snarky+Puppy,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy & Metropole Orkest,,https://www.last.fm/music/Snarky+Puppy+&+Metropole+Orkest,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
"Snarky Puppy, Metropole Orkest",,"https://www.last.fm/music/Snarky+Puppy,+Metropole+Orkest",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Bukuru Celestin & Snarky Puppy,e4acc3d8-6cc2-43ee-bf68-2edb8232e5b6,https://www.last.fm/music/Bukuru+Celestin+&+Snarky+Puppy,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy/Metropole Orkest,,https://www.last.fm/music/Snarky+Puppy%2FMetropole+Orkest,,
Snarky Puppy (with Magda Giannikou),,https://www.last.fm/music/Snarky+Puppy+(with+Magda+Giannikou),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Lalah Hathaway),,https://www.last.fm/music/Snarky+Puppy+(with+Lalah+Hathaway),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Shayna Steele),,https://www.last.fm/music/Snarky+Puppy+(with+Shayna+Steele),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Chantae Cann),,https://www.last.fm/music/Snarky+Puppy+(with+Chantae+Cann),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy feat. Lalah Hathaway,,https://www.last.fm/music/Snarky+Puppy+feat.+Lalah+Hathaway,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with N'Dambi),,https://www.last.fm/music/Snarky+Puppy+(with+N%27Dambi),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy & Magda Giannikou,fe85367e-4036-43c1-874b-b91af81cb4f3,https://www.last.fm/music/Snarky+Puppy+&+Magda+Giannikou,,
Snarky Puppy feat. Jacob Collier & Big Ed Lee,,https://www.last.fm/music/Snarky+Puppy+feat.+Jacob+Collier+&+Big+Ed+Lee,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Lucy Woodward),,https://www.last.fm/music/Snarky+Puppy+(with+Lucy+Woodward),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Malika Tirolien),,https://www.last.fm/music/Snarky+Puppy+(with+Malika+Tirolien),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy (with Tony Scherr),,https://www.last.fm/music/Snarky+Puppy+(with+Tony+Scherr),https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy feat. Magda Giannikou,,https://www.last.fm/music/Snarky+Puppy+feat.+Magda+Giannikou,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Snarky Puppy with Magda Giannikou,,https://www.last.fm/music/Snarky+Puppy+with+Magda+Giannikou,,
Snarky Puppy with Shayna Steele,,https://www.last.fm/music/Snarky+Puppy+with+Shayna+Steele,,
Snarky Puppy with Chantae Cann,,https://www.last.fm/music/Snarky+Puppy+with+Chantae+Cann,,
Metropole Orkest and Snarky Puppy,,https://www.last.fm/music/Metropole+Orkest+and+Snarky+Puppy,,
Snarky Puppy And Metropole Orkest,,https://www.last.fm/music/Snarky+Puppy+And+Metropole+Orkest,,
Snarky Puppy with Lalah Hathaway,,https://www.last.fm/music/Snarky+Puppy+with+Lalah+Hathaway,,
Snarky Puppy with N'Dambi,,https://www.last.fm/music/Snarky+Puppy+with+N%27Dambi,,
Snarky Puppy feat. Becca Stevens & Väsen,,https://www.last.fm/music/Snarky+Puppy+feat.+Becca+Stevens+&+V%C3%A4sen,,
Snarky Puppy feat. Knower & Jeff Coffin,,https://www.last.fm/music/Snarky+Puppy+feat.+Knower+&+Jeff+Coffin,,
"Snarky Puppy, Bernard Wright",,"https://www.last.fm/music/Snarky+Puppy,+Bernard+Wright",,
Snarky Puppy with Lucy Woodward,,https://www.last.fm/music/Snarky+Puppy+with+Lucy+Woodward,,
Snarky Puppy with Malika Tirolien,,https://www.last.fm/music/Snarky+Puppy+with+Malika+Tirolien,,
Snarky Dave & the Prickly Bluesmen,,https://www.last.fm/music/Snarky+Dave+&+the+Prickly+Bluesmen,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
